,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Type,Size,Weekly_Sales,markdown,Dep_type,Week
2066,76.86,3.2239999999999998,130.683,4.377,0,3,205863,56536.33,1,5,28
2076,48.73,4.143,141.7712396,8.253,0,3,204184,54542.61,1,5,14
2084,15.22,3.542,136.85641940000002,7.4670000000000005,0,3,152513,89786.91,1,5,3
2085,64.22,3.781,128.9998667,5.946000000000001,0,3,205863,73094.91,0,3,17
2091,69.21,3.81,215.27726830000003,7.931,0,3,202307,125106.75,0,5,17
2137,46.52,3.409,219.90490730000002,7.057,1,3,203750,76927.74,1,5,6
2148,64.05,4.121,131.03754840000002,11.081,0,3,206302,81556.27,1,3,14
2155,57.65,3.963,130.7413793,7.545,0,2,126512,68450.45,1,4,10
2156,71.04,3.009,126.49129029999999,9.003,0,2,126512,57181.98,0,5,44
2171,80.05,3.64,129.0357097,5.946000000000001,0,3,205863,54395.37,0,5,23
2199,58.21,4.046,185.9374378,8.521,0,3,200898,55803.2,0,5,18
2222,50.66,4.018,138.7395,7.405,0,3,152513,87719.06,1,5,39
2229,82.27,3.877,129.6060667,8.257,0,2,126512,59617.8,0,5,39
2243,56.53,3.969,142.8633629,8.665,0,2,103681,78760.85,1,3,42
2245,59.6,3.57,187.78461969999998,8.523,0,3,200898,62527.6,0,5,42
2251,68.49,3.54,193.18784480000002,6.901,0,3,196321,72093.59,0,5,27
2254,62.96,2.735,211.4062867,8.163,1,3,203750,63626.56,0,4,47
2255,73.64,3.8810000000000002,208.1535092,7.287000000000001,0,3,203742,47991.49,0,5,23
2271,46.84,3.9010000000000002,197.780931,6.547000000000001,0,3,196321,73634.82,1,5,15
2276,80.56,3.3930000000000002,221.4009901,6.891,0,3,202307,100684.85,1,5,24
2287,73.19,3.7430000000000003,214.026217,8.3,0,3,184109,99425.05,0,5,15
2302,44.42,2.948,126.2898,8.107000000000001,0,3,219622,107191.36,0,5,18
2304,39.42,3.065,136.6075714,8.572000000000001,0,2,119557,57274.98,0,5,48
2311,51.5,2.764,204.95198200000002,7.484,0,3,203742,52402.48,0,3,40
2320,48.17,3.717,136.4666667,8.454,0,3,203819,48324.94,1,5,46
2342,61.64,2.972,132.4357419,8.185,0,3,203819,52237.66,0,5,23
2362,56.55,4.046,137.9230667,4.377,0,2,114533,52360.63,1,3,16
2367,71.74,4.468,131.1083333,10.199,0,3,206302,87401.67,1,5,41
2373,54.12,3.781,130.4546207,7.545,0,2,126512,89423.13,1,4,7
2387,72.03,3.81,215.62795440000002,7.682,0,3,151315,112882.46,0,5,17
2389,46.97,3.755,131.19309679999998,5.621,0,3,219622,73165.41,1,5,43
2392,52.4,3.77,129.089,7.193,0,3,219622,129791.3,0,5,19
2395,74.95,2.8539999999999996,211.8421769,7.0920000000000005,0,3,202505,70526.73,0,3,19
2421,45.99,3.261,219.53281980000003,7.057,0,3,202307,79394.16,1,5,2
2427,65.87,3.372,217.3251824,7.441,0,3,202307,77566.94,0,5,43
2436,79.84,3.346,220.4886472,6.989,0,3,184109,55453.08,1,3,25
2449,85.17,3.73,225.96602630000004,6.334,1,3,207499,82496.42,1,5,36
2479,57.29,3.764,197.62189540000003,6.547000000000001,0,3,196321,96784.1,1,5,22
2483,40.5,2.826,131.9019677,5.435,0,2,114533,112577.06,0,5,13
2494,82.77,3.55,129.2405806,5.644,0,3,205863,94992.81,0,3,33
2517,37.79,3.513,212.7386486,6.961,0,3,203742,93006.53,1,5,2
2518,87.75,3.3930000000000002,213.1786952,9.575,0,1,41062,85447.12,1,5,24
2533,41.25,2.9189999999999996,132.8170968,5.287000000000001,0,3,155083,54758.98,0,5,42
2547,75.0,2.9760000000000004,126.3266774,11.081,0,3,206302,50750.54,0,5,41
2552,36.89,3.1189999999999998,130.07103229999998,5.143,1,3,205863,68796.41,1,5,52
2554,26.62,2.9339999999999997,127.44048390000002,6.8660000000000005,0,2,93188,70740.91,0,5,3
2561,33.82,3.826,137.1666774,8.658999999999999,1,3,203819,56474.97,1,5,6
2571,28.84,2.573,126.4962581,8.623,1,3,205863,59740.02,0,3,6
2583,70.58,2.707,182.7168385,8.724,0,3,200898,53151.96,0,5,39
2586,66.43,3.85,138.1101935,4.377,0,2,114533,60410.8,1,4,21
2614,49.9,2.983,132.152129,9.269,0,2,120653,63763.95,0,5,19
2618,73.65,3.7710000000000004,129.0623548,5.946000000000001,0,3,205863,48649.93,0,5,21
2623,59.39,3.659,198.12671840000002,6.432,0,3,196321,76421.46,1,5,37
2629,61.05,4.0889999999999995,128.91073329999998,8.494,0,2,126512,53096.73,0,5,15
2637,49.91,2.762,190.86230869999997,7.507999999999999,0,3,196321,50539.49,0,5,41
2668,57.18,3.157,218.4062876,7.244,0,1,39910,53290.09,1,5,1
2681,84.23,3.2569999999999997,130.75626670000003,4.377,0,3,205863,169858.42,1,5,26
2690,84.83,4.103,130.8896774,11.081,0,3,206302,118304.44,1,5,23
2692,71.34,3.81,207.4148429,10.581,0,1,41062,55106.94,0,2,17
2693,54.12,3.781,130.4546207,7.545,0,1,39690,60499.85,1,5,7
2696,64.19,3.924,134.94254840000002,4.781000000000001,0,3,155083,94537.58,0,5,23
2727,65.76,2.633,211.4044906,8.163,0,3,203750,54507.37,0,5,40
2734,47.55,2.8689999999999998,211.06454580000002,8.163,0,3,202307,148068.44,0,5,50
2772,74.69,3.88,140.08598730000003,8.023,0,2,119557,60400.38,0,5,32
2776,60.38,4.066,186.0719231,8.521,0,3,200898,85094.35,0,5,19
2779,72.22,2.9130000000000003,132.6616129,8.099,0,3,203819,48324.1,0,5,33
2786,56.96,3.674,128.26475,8.744,0,2,126512,90294.0,0,5,9
2790,39.93,3.4130000000000003,188.79793490000003,8.523,0,3,200898,209598.85,1,5,50
2806,30.95,3.8739999999999997,137.2583103,7.943,0,3,203819,47881.53,1,2,7
2827,48.43,2.943,211.4049321,7.837999999999999,1,3,151315,58568.16,0,5,52
2859,61.9,3.8989999999999996,142.0970115,7.671,0,2,119557,79597.48,1,5,20
2896,64.7,3.891,212.8887535,9.575,0,1,41062,73945.66,1,5,14
2907,80.34,2.6689999999999996,212.746898,6.973,0,3,202505,56892.51,0,5,26
2919,56.65,4.027,138.8256,4.377,0,2,114533,55694.37,1,4,40
2923,38.71,3.176,129.84596670000002,5.143,0,3,205863,58950.5,1,5,48
2929,45.86,2.7430000000000003,126.6066452,9.521,0,3,158114,62394.26,0,5,11
2953,76.0,3.545,193.51203669999998,8.622,0,3,203007,91959.06,0,5,29
2957,53.2,3.734,130.96709679999998,6.104,0,3,219622,94936.44,1,5,13
2966,78.44,3.5610000000000004,225.25151680000002,6.664,0,3,207499,52649.73,1,5,21
2988,67.75,4.111000000000001,131.11733329999998,7.382000000000001,0,1,39690,61107.35,1,5,16
2995,68.72,4.088,142.59388330000002,8.238999999999999,0,3,204184,107557.38,1,5,37
2996,82.89,3.407,220.6234054,6.622999999999999,0,3,184109,59409.71,1,5,30
3020,79.17,2.6239999999999997,210.3664469,8.36,0,1,39910,50631.94,0,5,38
3021,84.51,4.11,131.0983226,11.081,0,3,206302,49816.61,1,5,20
3022,51.86,3.495,128.5121935,6.51,0,3,205863,146602.65,0,5,11
3027,47.27,3.53,210.9810201,7.082000000000001,0,3,203742,109837.1,1,5,45
3032,68.66,4.449,131.14996770000002,10.199,0,2,112238,48132.68,1,5,42
3044,62.49,2.716,136.6338071,8.433,0,2,119557,59513.56,0,3,37
3049,38.1,3.8760000000000003,137.50668969999998,8.075,0,2,120653,72427.04,1,5,10
3062,49.89,3.042,132.0644333,8.185,0,3,203819,83743.68,0,5,17
3067,75.16,2.9130000000000003,136.52491819999997,7.982,0,3,204184,151360.34,0,5,33
3069,73.08,2.8539999999999996,209.9984585,8.2,0,1,42988,49243.08,0,5,19
3073,79.78,2.612,126.1283548,7.372000000000001,0,3,205863,62850.09,0,5,29
3076,58.49,4.211,134.593,8.212,0,3,203819,63566.52,0,2,19
3078,11.17,3.24,133.18341940000002,7.907,0,3,152513,78664.55,0,5,5
3083,89.9,3.705,129.1125,11.081,0,3,206302,76362.2,0,5,27
3103,58.54,3.597,193.09305519999998,8.622,0,2,70713,51330.7,0,3,26
3111,54.28,2.8989999999999996,181.6924769,8.899,0,3,200898,78802.05,0,5,15
3129,27.8,3.4130000000000003,136.5883871,4.42,0,2,114533,99226.06,1,5,51
3138,33.47,3.64,213.11861380000002,6.961,1,3,203742,205200.1,1,5,6
3147,65.65,3.815,135.4468,4.584,0,2,114533,71719.28,0,5,26
3154,69.52,3.786,142.1292548,8.253,0,3,204184,141662.09,1,5,24
3163,55.83,3.36,219.81188540000002,7.057,0,3,203750,68992.94,1,5,5
3179,43.19,2.9189999999999996,132.8170968,5.287000000000001,0,2,114533,49615.02,0,5,42
3185,47.43,3.491,195.0261012,6.7589999999999995,0,3,196321,128878.7,0,5,41
3187,51.72,3.674,128.26475,11.081,0,2,112238,77946.44,0,5,9
3190,48.26,3.1289999999999996,218.2302364,7.716,1,1,39910,54617.18,1,5,52
3209,61.3,2.9210000000000003,182.9011166,8.724,0,3,200898,105589.73,0,5,43
3224,78.47,3.76,186.13998080000002,8.625,0,3,200898,53423.96,0,4,28
3240,69.92,3.285,216.69583109999996,7.441,0,3,202307,56024.76,0,5,40
3275,43.76,2.5980000000000003,126.4420645,8.623,0,3,205863,130722.18,0,5,5
3276,46.25,3.5010000000000003,136.49093330000002,8.471,0,2,120653,70187.77,1,5,48
3284,42.87,2.971,210.2379731,8.395,0,3,39910,47961.07,0,2,2
3292,69.07,3.891,221.5102105,7.143,0,3,151315,70877.39,1,5,15
3305,66.36,3.236,217.18125330000004,7.716,1,3,184109,75647.51,1,5,47
3309,84.51,4.11,131.0983226,11.081,0,3,206302,51338.75,1,5,20
3319,71.97,3.877,225.06895409999998,6.664,0,3,207499,59060.22,1,3,16
3345,36.71,3.9210000000000003,137.7261935,4.377,0,2,114533,64231.32,1,5,13
3354,64.84,2.972,132.4357419,8.211,0,3,203819,56664.89,0,2,23
3357,80.06,4.277,130.95922579999998,7.382000000000001,0,2,126512,91539.95,1,5,22
3372,52.12,3.802,129.0756774,7.193,0,3,219622,71473.71,0,5,20
3392,42.86,3.739,190.0069881,8.424,0,3,200898,54465.67,1,5,8
3393,33.21,2.989,204.5264194,10.398,0,1,41062,57543.85,0,5,5
3399,52.3,2.708,213.12385099999997,7.007000000000001,0,3,202505,104295.19,0,3,48
3405,59.33,3.2969999999999997,217.6455387,7.441,0,3,202307,134149.11,1,5,45
3414,24.05,3.237,183.18009550000002,8.549,0,3,200898,123601.07,0,5,4
3416,71.54,3.721,222.41693619999998,6.565,0,1,42988,59299.09,1,5,38
3460,71.85,4.026,138.3771935,8.193,0,3,203819,58463.14,1,5,35
3469,39.79,3.739,213.4725116,6.961,0,3,203742,77500.73,1,5,8
3474,81.06,3.043,126.11399999999999,11.081,0,3,206302,106863.35,0,5,24
3479,45.99,3.9189999999999996,134.3571,8.975,0,2,120653,59986.73,0,5,16
3483,82.27,3.877,129.6060667,8.257,0,2,126512,68065.98,0,5,39
3492,77.8,3.842,208.719238,7.274,0,3,203742,90345.18,0,5,31
3494,84.54,3.5039999999999996,129.0894,5.644,0,3,205863,70835.13,0,2,26
3510,77.8,3.842,208.719238,7.274,0,3,203742,56336.23,0,3,31
3533,87.5,3.533,214.55168959999997,8.177,0,1,39910,60999.98,0,5,35
3555,75.71,2.784,132.5825806,9.342,0,2,120653,63124.13,0,5,29
3578,56.72,3.947,142.0759262,7.671,0,2,119557,77886.62,1,5,19
3583,81.52,3.355,215.4532259,8.177,0,1,39910,66742.61,0,5,39
3593,63.71,3.353,217.5159762,7.8660000000000005,0,3,151315,60047.94,0,2,42
3599,53.59,3.675,130.31445159999998,7.545,0,2,126512,49625.14,1,4,4
3602,34.11,2.955,127.0876774,10.21,1,3,158114,48358.44,0,5,52
3606,49.7,2.8689999999999998,214.93349369999999,6.56,0,2,125833,48443.32,0,3,50
3615,67.69,3.864,131.03754840000002,4.377,0,3,205863,90754.22,1,3,14
3650,59.54,3.661,192.9982655,6.934,0,3,196321,51557.94,0,4,25
3651,76.36,3.918,129.4306,11.081,0,3,206302,86381.63,0,5,37
3689,42.17,3.6439999999999997,129.8555333,11.081,0,2,112238,73061.15,1,5,49
3692,54.2,3.813,129.82683329999998,11.081,0,2,112238,54128.51,1,3,46
3711,42.49,2.782,126.6066452,8.316,0,3,219622,49711.13,0,5,11
3734,80.83,3.786,217.0544307,6.855,0,3,202505,93956.62,0,5,21
3767,44.97,3.738,136.475129,7.8660000000000005,0,3,203819,54395.87,0,5,44
3770,23.29,3.4389999999999996,136.698129,4.377,0,3,155083,66777.48,1,5,1
3778,43.82,3.51,220.06519930000002,7.057,0,3,202307,96765.32,1,2,7
3779,80.91,2.6689999999999996,211.2235333,7.787000000000001,0,3,151315,62795.87,0,2,26
3784,63.69,3.884,138.3771935,7.405,0,3,152513,58691.28,1,5,35
3812,76.03,4.186,131.14533329999998,7.382000000000001,0,1,39690,61141.17,1,5,19
3814,42.27,3.389,188.92997519999997,8.523,0,2,118221,70855.88,1,3,51
3823,74.86,4.004,135.9639355,7.806,0,3,203819,97555.81,0,5,30
3834,24.13,2.55,189.5340998,7.541,0,3,196321,49926.65,0,5,7
